frame,timestamp_sec,player_id,visibility_mean,visibility_min,visibility_left_arm,visibility_right_arm,angle_trunk_lean,angle_elbow_dom,angle_elbow_left,angle_elbow_right,angle_knee_front,angle_knee_back,com_height,hand_height,hand_height_left,hand_height_right,stance_length,v_hand_speed,v_hand_speed_left,v_hand_speed_right,v_torso_x,v_com_y
688,13.76,1,0.8532,0.3048,0.5207,0.9734,-8.59,159.48,160.63,159.48,173.48,154.19,0.4981,0.5183,0.45,0.5183,0.0148,0.0096,0.0128,0.0096,0.0038,-0.0014
696,13.92,1,0.8476,0.3009,0.5189,0.9748,-12.54,92.47,156.13,92.47,175.0,110.81,0.4973,0.4985,0.4862,0.4985,0.032,0.1522,0.233,0.1522,0.1224,-0.0051
696,13.92,2,0.7856,0.2142,0.8046,0.515,9.18,51.17,51.17,47.31,175.26,162.56,0.3974,0.4334,0.4334,0.4527,0.0258,0.0193,0.0193,0.0181,-0.0088,-0.0197
704,14.08,1,0.8385,0.2923,0.5134,0.9746,-15.55,91.57,155.16,91.57,178.01,114.57,0.4906,0.4953,0.4789,0.4953,0.0331,0.02,0.0898,0.02,-0.0026,-0.0416
704,14.08,2,0.7866,0.2092,0.7701,0.5315,8.51,36.14,36.14,49.14,167.78,163.49,0.3993,0.4448,0.4448,0.5012,0.0259,0.0707,0.0707,0.3126,-0.0035,0.0118
712,14.24,1,0.8391,0.287,0.5106,0.9769,-19.41,96.3,134.6,96.3,168.84,133.63,0.4975,0.4972,0.5397,0.4972,0.034,0.0203,0.3876,0.0203,-0.0519,0.0428
712,14.24,2,0.7955,0.2594,0.7497,0.5682,6.69,,121.62,99.04,169.91,168.29,0.3985,,0.4239,0.4949,0.0317,,0.1319,0.1561,-0.0002,-0.0052
720,14.4,1,0.8366,0.2773,0.5038,0.9741,-18.98,73.71,83.09,73.71,161.78,119.68,0.5077,0.5136,0.5564,0.5136,0.0338,0.1176,0.1144,0.1176,0.0072,0.0642
720,14.4,2,0.8014,0.25,0.7648,0.5719,2.26,14.09,14.09,150.41,167.59,171.4,0.3935,0.5132,0.5132,0.4091,0.037,,0.5581,0.5376,-0.0024,-0.0312
728,14.56,1,0.833,0.2664,0.4952,0.9721,-14.44,109.53,113.96,109.53,163.63,118.22,0.5224,0.5212,0.5471,0.5212,0.0251,0.0884,0.0771,0.0884,0.0035,0.0916
728,14.56,2,0.8085,0.2928,0.7879,0.5997,-2.26,147.05,147.05,162.76,169.81,165.22,0.3848,0.5382,0.5382,0.3658,0.0365,0.1657,0.1657,0.2707,0.0004,-0.054
736,14.72,1,0.8294,0.2736,0.4962,0.9714,-9.25,106.01,94.89,106.01,163.54,142.7,0.5217,0.5226,0.5618,0.5226,0.025,0.088,0.0968,0.088,0.0215,-0.0044
736,14.72,2,0.8183,0.3439,0.809,0.6312,-4.63,123.43,123.43,134.71,175.96,164.81,0.3836,0.5347,0.5347,0.3818,0.0378,0.1276,0.1276,0.185,0.0325,-0.0075
744,14.88,1,0.8263,0.292,0.5026,0.9729,-7.97,110.74,69.22,110.74,165.61,172.02,0.518,0.5205,0.5652,0.5205,0.0111,0.0218,0.0222,0.0218,-0.0035,-0.023
744,14.88,2,0.8278,0.3992,0.8278,0.6638,-3.85,153.64,153.64,59.51,173.69,165.08,0.3844,0.466,0.466,0.4532,0.0409,0.4336,0.4336,0.4508,0.0232,0.005
752,15.04,1,0.8283,0.3287,0.5202,0.975,-8.56,98.96,70.11,98.96,156.9,,0.5115,0.5066,0.5628,0.5066,0.0008,0.0874,0.0444,0.0874,-0.0048,-0.0407
752,15.04,2,0.8357,0.3887,0.8436,0.6584,1.52,126.42,126.42,7.23,135.06,169.66,0.3838,0.4307,0.4307,0.4832,0.046,0.2213,0.2213,0.3289,0.0429,-0.004
760,15.2,1,0.8337,0.363,0.5385,0.9771,-8.87,112.59,60.4,112.59,145.13,158.88,0.4963,0.4931,0.5509,0.4931,0.0074,0.084,0.0763,0.084,-0.0095,-0.095
760,15.2,2,0.8363,0.3627,0.8415,0.6357,5.94,76.46,76.46,11.71,123.21,156.01,0.3935,0.4436,0.4436,0.5034,0.0819,0.1607,0.1607,0.1589,0.0556,0.0609
768,15.36,1,0.8367,0.3667,0.5401,0.9772,-10.33,130.32,80.36,130.32,119.22,139.85,0.4837,0.4674,0.5366,0.4674,0.0183,0.1639,0.092,0.1639,-0.0124,-0.0789
768,15.36,2,0.845,0.3595,0.8526,0.6233,13.02,63.85,63.85,40.67,162.14,153.64,0.4238,0.4543,0.4543,0.529,0.0721,0.1751,0.1751,0.1685,0.1307,0.1889
776,15.52,1,0.8394,0.3724,0.5469,0.9757,-13.39,114.56,62.16,114.56,145.19,157.86,0.4713,0.4569,0.5375,0.4569,0.0433,0.164,0.0403,0.164,0.0226,-0.0772
776,15.52,2,0.8382,0.3415,0.8629,0.6042,16.29,81.06,81.06,97.94,147.94,147.78,0.414,0.4369,0.4369,0.4739,0.0082,0.2073,0.2073,0.3456,0.0807,-0.0607
784,15.68,1,0.8483,0.3985,0.5766,0.9775,-17.28,122.33,100.91,122.33,96.76,129.54,0.4512,0.4501,0.5159,0.4501,0.0204,0.2926,0.1584,0.2926,0.0413,-0.1257
784,15.68,2,0.8321,0.3251,0.8736,0.5874,22.06,109.43,109.43,102.02,150.27,155.89,0.4117,0.4185,0.4185,0.4528,0.0009,0.1367,0.1367,0.145,0.0641,-0.0147
792,15.84,1,0.8558,0.408,0.598,0.9795,-21.74,106.08,93.3,106.08,115.61,143.3,0.4524,0.4666,0.4968,0.4666,0.0435,0.1225,0.1206,0.1225,-0.0101,0.0074
792,15.84,2,0.8221,0.3238,0.8779,0.5818,21.73,101.18,101.18,132.02,112.04,141.85,0.4174,0.4066,0.4066,0.4616,0.0227,0.0929,0.0929,0.12,-0.0152,0.0354
